run_uuid,hostname,run_num,total_runs,exp_command,exp_number,order_number,order_type,time_start,time_stop,completion_status,result
361099ae-2f7e-11ec-a8f3-1458d0584f82,hp065.utah.cloudlab.us,3,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,4,fixed,1.910582177,1.919952101,Success,4.921
361099ae-2f7e-11ec-a8f3-1458d0584f82,hp065.utah.cloudlab.us,3,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,5,fixed,1.920243945,1.961102494,Success,27.894
361099ae-2f7e-11ec-a8f3-1458d0584f82,hp065.utah.cloudlab.us,3,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,6,fixed,1.961409794,1.969441776,Success,3.542
361099ae-2f7e-11ec-a8f3-1458d0584f82,hp065.utah.cloudlab.us,3,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,7,fixed,1.969992248,1.983491691,Success,10.424
361099ae-2f7e-11ec-a8f3-1458d0584f82,hp065.utah.cloudlab.us,3,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,8,fixed,1.983786101,1.992805689,Success,4.517
361099ae-2f7e-11ec-a8f3-1458d0584f82,hp065.utah.cloudlab.us,3,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,9,fixed,1.993131221,2.001521328,Success,3.596
1771c7b9-2f7f-11ec-9464-1458d0584f82,hp065.utah.cloudlab.us,4,240,/bin/bash ~/os-benchmarks/scripts/run_memory.sh -n 0 -d 1 -b stream -t MT -s 100 -u 200,0,0,fixed,2.042859076,2.071230556,Success,"33852.77,33778.38,38037.04,38187.62"
1771c7b9-2f7f-11ec-9464-1458d0584f82,hp065.utah.cloudlab.us,4,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,1,fixed,2.071515875,2.082116762,Success,6.880
1771c7b9-2f7f-11ec-9464-1458d0584f82,hp065.utah.cloudlab.us,4,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,2,fixed,2.082418019,2.095925341,Success,10.964
1771c7b9-2f7f-11ec-9464-1458d0584f82,hp065.utah.cloudlab.us,4,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,3,fixed,2.096225193,2.103697983,Success,1.946
1771c7b9-2f7f-11ec-9464-1458d0584f82,hp065.utah.cloudlab.us,4,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,4,fixed,2.103987406,2.113594983,Success,4.911
1771c7b9-2f7f-11ec-9464-1458d0584f82,hp065.utah.cloudlab.us,4,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,5,fixed,2.113884151,2.154547536,Success,27.847
1771c7b9-2f7f-11ec-9464-1458d0584f82,hp065.utah.cloudlab.us,4,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,6,fixed,2.154863737,2.16347845,Success,3.544
1771c7b9-2f7f-11ec-9464-1458d0584f82,hp065.utah.cloudlab.us,4,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,7,fixed,2.163767588,2.177378935,Success,10.426
1771c7b9-2f7f-11ec-9464-1458d0584f82,hp065.utah.cloudlab.us,4,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,8,fixed,2.177669216,2.186785276,Success,4.502
