,run_uuid,hostname,run_num,total_runs,exp_command,exp_number,order_number,order_type,time_start,time_stop,completion_status,result
4623,a087ef9c-30fe-11ec-873b-1458d0584f82,hp065.utah.cloudlab.us,222,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,3,random,92.567140292,92.607859094,Success,27.949
4624,a087ef9c-30fe-11ec-873b-1458d0584f82,hp065.utah.cloudlab.us,222,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,4,random,92.608168634,92.621572775,Success,10.885
4625,a087ef9c-30fe-11ec-873b-1458d0584f82,hp065.utah.cloudlab.us,222,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,5,random,92.621864183,92.629487664,Success,1.949
4626,a087ef9c-30fe-11ec-873b-1458d0584f82,hp065.utah.cloudlab.us,222,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,6,random,92.629794999,92.638890446,Success,4.512
4627,a087ef9c-30fe-11ec-873b-1458d0584f82,hp065.utah.cloudlab.us,222,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,7,random,92.639208886,92.649888477,Success,6.862
4628,a087ef9c-30fe-11ec-873b-1458d0584f82,hp065.utah.cloudlab.us,222,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,8,random,92.650172949,92.65876136,Success,3.575
4630,802e7e0a-30ff-11ec-a8e9-1458d0584f82,hp065.utah.cloudlab.us,223,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,0,random,92.726712366,92.741777025,Success,10.398
4631,802e7e0a-30ff-11ec-a8e9-1458d0584f82,hp065.utah.cloudlab.us,223,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,1,random,92.742083127,92.751629723,Success,4.912
4632,802e7e0a-30ff-11ec-a8e9-1458d0584f82,hp065.utah.cloudlab.us,223,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,2,random,92.751915433,92.75940525,Success,1.981
4633,802e7e0a-30ff-11ec-a8e9-1458d0584f82,hp065.utah.cloudlab.us,223,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,3,random,92.759690684,92.800742635,Success,27.867
4634,802e7e0a-30ff-11ec-a8e9-1458d0584f82,hp065.utah.cloudlab.us,223,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,4,random,92.801069094,92.814926695,Success,10.963
4636,802e7e0a-30ff-11ec-a8e9-1458d0584f82,hp065.utah.cloudlab.us,223,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,6,random,92.842019392,92.85058168,Success,3.599
4637,802e7e0a-30ff-11ec-a8e9-1458d0584f82,hp065.utah.cloudlab.us,223,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,7,random,92.850868006,92.861389172,Success,6.875
4638,802e7e0a-30ff-11ec-a8e9-1458d0584f82,hp065.utah.cloudlab.us,223,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,8,random,92.861709232,92.870244134,Success,3.553
4639,802e7e0a-30ff-11ec-a8e9-1458d0584f82,hp065.utah.cloudlab.us,223,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,9,random,92.87053038,92.87960589,Success,4.475
4640,60de489c-3100-11ec-8e31-1458d0584f82,hp065.utah.cloudlab.us,224,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,0,random,92.9212596,92.963346393,Success,27.968
