test_command,coeff_of_variation_fixed,coeff_of_variation_random,KW_dist_type,Normal_fixed,Normal_random,SW_test_stat_fixed,SW_p-value_fixed,SW_test_stat_random,SW_p-value_random,KW_test_stat,KW_p-value,percent_diff,KW_effect_size,fixed_pth_quantile,fixed_ci_low,fixed_ci_high,random_pth_quantile,random_ci_low,random_ci_high,ci_case,inner_diff
bash -i ufs.CMS.sh,0.01,0.011,different,True,False,0.8588839769363403,0.07402977347373962,0.8372143507003784,0.04085783660411835,5.491428571428571,0.01910992220684442,-1.3070331530119927,0.2890225563909774,164368.10675173608,163105.5292774425,167560.3217158177,167687.10180112848,162839.92835043152,169004.56312320434,2,
bash -i ext4nj.RMS.sh,0.008,0.01,same,True,True,0.9445962309837341,0.6051919460296631,0.8890795111656189,0.16557259857654572,0.2058690744920929,0.6500246299061062,0.09614384915522653,0.010835214446952257,99171.93426490597,97799.511002445,100401.6064257028,98985.50658180867,96852.30024213076,100270.7309736288,2,
bash -i ext4nj.CMP.sh,0.004,0.008,same,True,False,0.9647803902626038,0.8386899828910828,0.8435461521148682,0.04865407943725586,1.2876506024096304,0.2564813665273755,-0.11357971338232724,0.06777108433734896,115154.33120316385,114246.54404204272,116076.61056297156,115506.85113394307,112930.5477131564,116400.88464672332,2,
bash -i ext4nj.CMS.sh,0.005,0.007,same,True,True,0.9312283992767334,0.4600834250450134,0.8652809262275696,0.0880393460392952,0.1429646350639538,0.7053513720635086,0.33987385456964875,0.007524454477050197,117150.89677803742,116198.001394376,118441.3123297406,117260.78960484201,115154.30677107324,117827.26522917402,2,
bash -i ext4nj.RDPR.sh,0.038,0.005,same,False,True,0.6985577344894409,0.0008461754769086838,0.9411782026290894,0.5661970376968384,1.462857142857132,0.22647606604348455,1.8961425201959587,0.07699248120300695,12358.07518071261,12088.390309946328,13830.302192102896,12259.860110332203,12166.782251098051,12363.23174877913,2,
bash -i ext4nj.LsMS.sh,0.003,0.005,same,True,True,0.9176554679870605,0.337814599275589,0.9846063852310181,0.9850228428840637,0.005714285714276457,0.939742989577122,0.0171566394096348,0.00030075187969876087,1107.2661006360436,1104.2061420362445,1115.6829318362356,1108.2462970156366,1099.2840363071532,1118.2017526694272,2,
bash -i ext4nj.LsMP.sh,0.004,0.004,same,True,True,0.9136056303977966,0.30668747425079346,0.8987867832183838,0.2124667763710022,0.6914285714285668,0.40567889528505463,0.14282018379873834,0.03639097744360878,1118.2424049058795,1107.7239374711992,1122.3382345844038,1116.2883733191475,1107.3669803099076,1120.6515916614558,2,
bash -i ext4nj.RMP.sh,0.006,0.004,same,True,True,0.8936684131622314,0.18642692267894745,0.969947338104248,0.8903569579124451,0.36654107008289816,0.5448957446685587,0.2533436341542486,0.019291635267520955,97153.41989901575,96711.7988394584,98434.8853233586,97205.34836062978,96497.15333397665,97828.21365681864,2,
bash -i ufs.RDPR.sh,0.001,0.003,same,True,False,0.9453111290931702,0.6134709119796753,0.7863551378250122,0.009893366135656834,2.521896162528213,0.11227550598055741,0.17435469432890202,0.1327313769751691,14724.504779010133,14696.15695495628,14749.69763119856,14705.126051010197,14595.55711241498,14732.530901483568,2,
bash -i ufs.RDSR.sh,0.001,0.003,same,True,False,0.937322735786438,0.5236252546310425,0.7471694350242615,0.003296410432085395,2.519999999999996,0.112410584655364,0.19166636076259233,0.1326315789473682,14723.313369931326,14690.543697022227,14740.13148197282,14711.832220937082,14569.61361384696,14732.530901483568,2,
